100-128
PLACES:cores|BIND:close,NO OPT-NO MAVX,2 threads,0.023746,0.022347,0.021709,
,,4 threads,0.039766,0.038522,0.038038,
,NO OPT-MAVX,2 threads,0.020120,0.019872,0.019848,
,,4 threads,0.034248,0.035868,0.033302,
,OPT-NO MAVX,2 threads,0.008686,0.008284,0.008734,
,,4 threads,0.036679,0.030524,0.023420,
,OPT-MAVX,2 threads,0.011310,0.008009,0.008911,
,,4 threads,0.027198,0.026271,0.032114,
PLACES:cores|BIND:spread,NO OPT-NO MAVX,2 threads,0.019858,0.018255,0.018940,
,,4 threads,0.031995,0.035201,0.038635,
,NO OPT-MAVX,2 threads,0.018292,0.018175,0.018329,
,,4 threads,0.034918,0.038472,0.033849,
,OPT-NO MAVX,2 threads,0.008476,0.007762,0.007946,
,,4 threads,0.019481,0.019728,0.018425,
,OPT-MAVX,2 threads,0.006725,0.006233,0.006334,
,,4 threads,0.020240,0.021283,0.018940,

