Name_of_TestA
NO OPT-NO MAVX,2 threads, 0.501443,0.504150,0.517190,0.518919,0.494901,
,4 threads, 0.501402,0.508027,0.607740,0.556165,0.577957,
,8 threads, 0.562253,0.559410,0.501854,0.512630,0.536634,

NO OPT-MAVX,2 threads, 0.515363,0.604518,0.523829,0.533163,0.558942,
,4 threads, 0.557489,0.589305,0.501525,0.495286,0.590365,
,8 threads, 0.515673,0.574282,0.534761,0.497671,0.499886,

OPT-NO MAVX,2 threads, 0.030673,0.028940,0.031249,0.031146,0.032080,
,4 threads, 0.035505,0.030467,0.040970,0.039532,0.030036,
,8 threads, 0.032523,0.038275,0.032129,0.039960,0.037318,

OPT-MAVX,2 threads, 0.030188,0.025280,0.025371,0.022742,0.026701,
,4 threads, 0.024093,0.023801,0.027049,0.023999,0.025239,
,8 threads, 0.030730,0.024514,0.028183,0.032958,0.024709,
