100-128
PLACES:threads|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.008733,0.008542,0.008248,0.008519,0.008281,
,,4 threads,0.010190,0.009430,0.008482,0.008851,0.009025,
,,8 threads,0.007725,0.007704,0.007780,0.007910,0.008329,
,NO OPT-MAVX,2 threads,0.008674,0.008476,0.008173,0.008138,0.008357,
,,4 threads,0.008391,0.009675,0.008376,0.008409,0.008410,
,,8 threads,0.011380,0.007783,0.007935,0.007761,0.007608,
,OPT-NO MAVX,2 threads,0.000807,0.000836,0.000806,0.000749,0.000888,
,,4 threads,0.000863,0.000887,0.000837,0.000833,0.000838,
,,8 threads,0.001432,0.000728,0.000738,0.000760,0.000785,
,OPT-MAVX,2 threads,0.000678,0.000674,0.000887,0.000643,0.000764,
,,4 threads,0.000762,0.000673,0.000885,0.000655,0.000650,
,,8 threads,0.000681,0.000786,0.000743,0.000841,0.000685,
PLACES:CORES|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.007535,0.008750,0.007461,0.007505,0.007570,
,,4 threads,0.010345,0.010245,0.009407,0.008476,0.016818,
,,8 threads,0.007860,0.007649,0.007664,0.007949,0.007736,
,NO OPT-MAVX,2 threads,0.007793,0.007589,0.007471,0.007944,0.007646,
,,4 threads,0.009960,0.009872,0.009866,0.010427,0.010741,
,,8 threads,0.007938,0.007818,0.007612,0.008027,0.007886,
,OPT-NO MAVX,2 threads,0.001016,0.000810,0.000791,0.000828,0.002194,
,,4 threads,0.003784,0.001641,0.002647,0.002813,0.003574,
,,8 threads,0.001052,0.001017,0.000976,0.001018,0.000991,
,OPT-MAVX,2 threads,0.000538,0.000520,0.000509,0.000496,0.000514,
,,4 threads,0.001825,0.007740,0.002441,0.002437,0.003106,
,,8 threads,0.000728,0.000721,0.000790,0.000688,0.000697,

