100-256
PLACES:threads|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.024667,0.025427,0.024324,0.025089,0.024690,
,,4 threads,0.090255,0.042162,0.038941,0.042411,0.039678,
,,8 threads,0.069904,0.068251,0.070686,0.066349,0.065010,
,NO OPT-MAVX,2 threads,0.024559,0.024092,0.022162,0.024644,0.023589,
,,4 threads,0.041815,0.057389,0.043980,0.042138,0.042012,
,,8 threads,0.077321,0.071360,0.070589,0.075263,0.073058,
,OPT-NO MAVX,2 threads,0.010512,0.010553,0.010991,0.011743,0.011249,
,,4 threads,0.032564,0.030331,0.027571,0.034721,0.026957,
,,8 threads,0.060579,0.058419,0.061980,0.064898,0.058943,
,OPT-MAVX,2 threads,0.009124,0.009549,0.009466,0.009360,0.010018,
,,4 threads,0.065575,0.082417,0.076920,0.047126,0.076285,
,,8 threads,0.060312,0.055052,0.071761,0.060395,0.057713,
PLACES:CORES|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.027205,0.025792,0.022818,0.024517,0.025125,
,,4 threads,0.146034,0.091443,0.072760,0.105719,0.092701,
,,8 threads,0.061540,0.060459,0.073438,0.063778,0.062074,
,NO OPT-MAVX,2 threads,0.021972,0.022747,0.021354,0.026171,0.021629,
,,4 threads,0.037021,0.040537,0.037371,0.039770,0.036914,
,,8 threads,0.065044,0.057567,0.059167,0.056853,0.055329,
,OPT-NO MAVX,2 threads,0.008972,0.009198,0.008709,0.008867,0.009757,
,,4 threads,0.025183,0.023556,0.024341,0.023080,0.029670,
,,8 threads,0.049901,0.048450,0.042728,0.043935,0.048524,
,OPT-MAVX,2 threads,0.007808,0.007893,0.008541,0.009060,0.007737,
,,4 threads,0.023026,0.024417,0.023212,0.022935,0.026642,
,,8 threads,0.051068,0.051776,0.047266,0.052090,0.045411,

